timestamp,author,time_in_seconds,message,time_text
1584513677409294,陳乃賢,639,午安,10:39
1584513700006140,Vasili Zaitsev,662,天佑台灣,11:02
1584514006666472,K H,967,大家有,16:07
1584514014016619,anychun,976,午安,16:16
1584514016523539,Penguin Chocolate,979,大家午安,16:19
1584514020723157,go away,983,大家午安,16:23
1584514021636838,Trobiawan Liu,984,午安,16:24
1584514022750913,Carrie Huang,985,來了！,16:25
1584514026217758,Monaha L,988,午安 希望回溯抓的出來,16:28
1584514027005391,Jessie888,989,希望新增十個以內Q____Q,16:29
1584514027585416,紹富,990,午安,16:30
1584514027788849,Lin Chen,990,午安,16:30
1584514028777747,莊端蓉,991,天祐臺灣🙏🙏🙏🙏🙏🙏,16:31
1584514029628282,Thuý An Nguyên,992,安安,16:32
1584514030442333,fang Lin,992,大家午安,16:32
1584514033048926,莊端真,995,午安大家辛苦了怕爆,16:35
1584514034266409,王明耀,996,安安,16:36
1584514035407126,cai ying LIN,997,大家午安~~~緊張,16:37
1584514035446752,B.C. Chang,998,午安～,16:38
1584514036160774,胡仕翰,998,ㄨˇㄢㄅ,16:38
1584514040541555,Lesley Sun,1003,好緊張，希望天佑台灣,16:43
1584514041392120,鄒柏威,1003,暗暗,16:43
1584514046662838,w LIN,1008,臺灣加油,16:48
1584514047394226,Allen,1009,午安,16:49
1584514048739195,巴萬,1010,午安,16:50
1584514048838438,花田イル,1010,中國時報自己注意一點啊,16:50
1584514049349612,Mamt Lee,1011,午安～～,16:51
1584514050661691,陳宇方,1012,午安,16:52
1584514051003597,Chin Lin,1012,"感謝中國傳播武漢冠狀病毒給全世界測試免疫力，感謝CHO""達著屎💩""秘書長協助中國，祝你每天都""達著屎💩""",16:52
1584514051901233,Jason Shao,1013,這個是不是比較快,16:53
1584514052843378,莊端蓉,1014,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,16:54
1584514054049531,Oka Yama,1016,OMG,16:56
1584514055775413,石神千空,1018,午安大家💗,16:58
1584514055971351,anychun,1018,希望大家能多配合，別再出國了,16:58
1584514057493811,李宗燁,1019,大家午安,16:59
1584514058248255,K H,1020,大家有心理準備，今天案例不少.....,17:00
1584514058551259,Brenda Wang,1020,再多境外移入（旅遊）真的要重罰。怎麼這麼愛玩,17:00
1584514063114193,Ling L,1025,加油！,17:05
1584514066095617,CHEN JESSICA,1028,現在每天的工作....就是等著看記者會,17:08
1584514069259827,apple cheng,1031,大概很多吧⋯⋯憂心,17:11
1584514069473768,Kyo,1032,天佑台灣,17:12
1584514074971416,HT Jung,1037,午安,17:17
1584514076861247,早安饒炸,1039,安安,17:19
1584514077531637,陳羿名,1040,午安，大家辛苦了，一起加油吧,17:20
1584514078021568,sophia66a,1040,部長加油！團隊加油！,17:20
1584514078094485,HUI CHIN TSAI,1040,大家午安，小編午安,17:20
1584514079227958,鄒柏威,1042,只要不要有社區傳染都還算守住,17:22
1584514079231478,jge櫻花花,1042,我有心理準備了,17:22
1584514079888642,inesliou4,1042,大家午安天佑台灣,17:22
1584514081905875,cecilia,1044,大家午安安~~~,17:24
1584514082158172,montreal8367,1045,哀,17:25
1584514083292402,FTH Lowis,1046,.,17:26
1584514085405860,J H,1048,大家午安,17:28
1584514087310475,jge櫻花花,1050,深呼吸,17:30
1584514088007704,Weihan Chen,1050,午安,17:30
1584514089287681,Monaha L,1051,"今天有HTC & Line 出席, 不知道是不是疾管家有什麼新訊息？",17:31
1584514089400199,Kao Moonscats,1051,午安，大家平安,17:31
1584514092883589,劉小婕,1055,有心理準備+1,17:35
1584514097562113,不濃的頭目,1060,今日可以不要有新增病例嗎?,17:40
1584514098462921,MMOGG,1061,安安,17:41
1584514099578165,yufang lin,1062,午安~~,17:42
1584514101505253,Egg100152002,1064,只希望台灣總病例數不要破百，押在兩位數的感染就超強了，台灣加油,17:44
1584514101804587,J H,1064,心情沉重…,17:44
1584514104926569,Brenda Wang,1067,土耳其團15 個中9個。希望今天沒有再增加,17:47
1584514105195013,kateblue,1067,大家午安,17:47
1584514107418986,yufang lin,1069,病例多沒關係，有控制就好~~,17:49
1584514116533411,wkin97,1078,有心理準備+1,17:58
1584514117779412,Taiwan Can Help✨,1080,醫檢師們辛苦了！,18:00
1584514121677412,anychun,1084,部長辛苦了，團隊辛苦了,18:04
1584514121967293,石神千空,1084,這幾天要有確診爆增心裡準備...😢😢😢😢,18:04
1584514122393380,Phillip Chou,1084,應該有另一個鏡頭拍到發問的記者，證明他們有問好問題！,18:04
1584514123534748,Frank Tsao,1086,中屎還會再發揮嗎,18:06
1584514124320495,木雅子,1086,深呼吸,18:06
1584514124672519,Allen,1087,HTC和Line?,18:07
1584514126370961,Jason Shao,1088,午安 隔壁台好衝蹦,18:08
1584514127101414,yufang lin,1089,部長都先打預防針說會有很多了,18:09
1584514132555245,K H,1094,總之我們要冷靜要團結，配合政府防疫,18:14
1584514132660850,liu liu,1094,相信政府! 團結就是力量!!,18:14
1584514133908886,jessie WW,1096,早上部長就講過這兩天會很多了!!,18:16
1584514134010653,jge櫻花花,1096,不要有奇怪案例就好，拜託,18:16
1584514137300127,HUI CHIN TSAI,1099,剛看臉書中時等媒體要求小編制止網友的「不理性」發言，覺得有點....,18:19
1584514137628677,RJ Syu,1099,早上沒有宣布案例的BGM，要壞。案例應該很多....... 這段時間大家不要沒事出國阿TAT,18:19
1584514139719561,cecilia,1101,雖然有心裡準備，還是怕爆~~,18:21
1584514142721058,劉小婕,1104,中國時報無下限,18:24
1584514143312616,黃畇涵,1105,緊張緊張,18:25
1584514144127739,cyliao91,1106,大家午安,18:26
1584514146347725,Mamt Lee,1108,來了,18:28
1584514148104748,JEFF WU,1110,面色凝重,18:30
1584514151128340,Kao Moonscats,1112,最近防疫人員壓力很大，大家多點鼓勵,18:32
1584514151576464,jessie WW,1113,所以才早上趕快宣布禁入,18:33
1584514152437133,黃畇涵,1113,🥺,18:33
1584514152738679,Ting JingYi,1114,開始了,18:34
1584514153109858,黃惟恩,1114,天佑台灣~希望確診數不要增多,18:34
1584514153178601,cyliao91,1115,做好心理準備,18:35
1584514154676336,陳羿名,1117,開始了,18:37
1584514155653897,Ariel,1118,病例增加很難抵擋 但有抓住確診的最重要,18:38
1584514155785588,era22441,1118,部長說話讓人安心 浩浩說話感覺可愛,18:38
1584514155824470,林開水,1118,來了~~,18:38
1584514156160470,莊端蓉,1118,大家午安,18:38
1584514157410768,Rebecca Chang,1119,開始了！！！！,18:39
1584514157979490,jge櫻花花,1120,所以有心理準備了啊,18:40
1584514160678867,cyliao91,1123,大家冷靜QQ,18:43
1584514161277794,Monaha L,1123,疾管家是政府與HTC / Line合作開發的唷！,18:43
1584514161983863,MY,1124,大家要互相警惕、提醒親朋好友不要群聚、勤洗手保護自己與家人,18:44
1584514163474758,J J,1125,要擋住這一波,18:45
1584514164992131,E kao,1126,ＱＡＱ,18:46
1584514165221840,jge櫻花花,1127,緊張,18:47
1584514165262008,Dustin9612,1127,如果都是境外移入那表示境內本身有控制好,18:47
1584514165401403,李長玲,1127,阿中部長 來了,18:47
1584514165983848,K H,1127,大家冷靜喔,18:47
1584514168003326,HUA JIA,1130,前方高能,18:50
1584514168066316,生徒D,1130,QQ,18:50
1584514171190710,yufang lin,1133,下午場好多人喔,18:53
1584514171194090,cyliao91,1133,深呼吸 一起面對,18:53
1584514171246004,拎北吸佛哥喇,1133,不要太多,18:53
1584514172266015,jessie WW,1134,好緊張的氣氛><,18:54
1584514175594459,Cynthia Lee,1137,緊張,18:57
1584514175657050,S S,1137,好沉重 乾,18:57
1584514176021716,liu liu,1137,大家辛苦了!! 謝謝疫情指揮中心的全體!!,18:57
1584514176100226,Ncmaew5433,1137,大陸才是會隱匿，白痴到遮蔽眼睛,18:57
1584514177054483,中華民國衛生福利部,1138,大家午安,18:58
1584514177881514,RJ Syu,1139,前方高能,18:59
1584514178090258,LeafLu,1139,午安,18:59
1584514178412379,HUI CHIN TSAI,1139,大家不要罵太用力，免得小編太有壓力,18:59
1584514178469338,佩不配,1140,大家加油!!真的辛苦你們了,19:00
1584514180193140,Fiona Chen,1142,只能說醫護人員辛苦了!感謝再感謝!,19:02
1584514180313827,Josh SHIH,1142,深呼吸,19:02
1584514180538591,James H,1142,有新人,19:02
1584514180727478,Ling L,1142,好多人,19:02
1584514181694726,Ina Lin,1143,今天好大陣杖,19:03
1584514182745307,ohapiyo,1144,午安,19:04
1584514185178748,E kao,1146,好錦州,19:06
1584514186372232,F JO,1147,大家午安,19:07
1584514186493201,cai ying LIN,1147,小編 大家都有言論自由喔~~~,19:07
1584514186919255,Eddie Anthony,1148,境外本來就很多了 只是國人有沒有衛教觀念就是,19:08
1584514187447502,Ling L,1148,好緊張QQ,19:08
1584514187904135,E kao,1149,好緊張,19:09
1584514188750250,Han T,1150,大家辛苦了，ㄧ天兩次記者會,19:10
1584514189114203,fang Lin,1150,緊張,19:10
1584514189385928,Abigail Kang,1150,凝重,19:10
1584514189641569,jge櫻花花,1151,我冷靜,19:11
1584514189721945,jessie WW,1151,後面兩位?????,19:11
1584514191998202,JEFF WU,1154,面色凝重 應該又一堆吧,19:14
1584514192072183,溫庭睿,1154,新面孔^o^,19:14
